timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690559708362,14348,Iphone,200,OK,Thread Group 1-33,text,true,,236749,250,50,50,https://www.apple.com/iphone/,212,0,0
1690559708362,212,Iphone-0,301,Moved Permanently,Thread Group 1-33,,true,,435,125,50,50,http://www.apple.com/iphone/,212,0,0
1690559708574,14136,Iphone-1,200,OK,Thread Group 1-33,text,true,,236314,125,50,50,https://www.apple.com/iphone/,1678,0,0
1690559710496,12266,Iphone,200,OK,Thread Group 1-37,text,true,,236749,250,50,50,https://www.apple.com/iphone/,230,0,0
1690559710496,230,Iphone-0,301,Moved Permanently,Thread Group 1-37,,true,,435,125,50,50,http://www.apple.com/iphone/,230,0,0
1690559710726,12036,Iphone-1,200,OK,Thread Group 1-37,text,true,,236314,125,50,50,https://www.apple.com/iphone/,828,0,0
1690559698991,24228,Ipad,200,OK,Thread Group 1-4,text,true,,281201,246,50,50,https://www.apple.com/ipad/,111,0,83
1690559698991,119,Ipad-0,301,Moved Permanently,Thread Group 1-4,,true,,433,123,50,50,http://www.apple.com/ipad/,111,0,83
1690559699120,24099,Ipad-1,200,OK,Thread Group 1-4,text,true,,280768,123,50,50,https://www.apple.com/ipad/,2397,0,2181
1690559699717,23538,Ipad,200,OK,Thread Group 1-49,text,true,,281201,246,50,50,https://www.apple.com/ipad/,65,0,34
1690559699717,65,Ipad-0,301,Moved Permanently,Thread Group 1-49,,true,,433,123,50,50,http://www.apple.com/ipad/,65,0,34
1690559699783,23472,Ipad-1,200,OK,Thread Group 1-49,text,true,,280768,123,50,50,https://www.apple.com/ipad/,1452,0,807
1690559711983,11282,Iphone,200,OK,Thread Group 1-43,text,true,,236749,250,50,50,https://www.apple.com/iphone/,207,0,0
1690559711983,207,Iphone-0,301,Moved Permanently,Thread Group 1-43,,true,,435,125,50,50,http://www.apple.com/iphone/,207,0,0
1690559712191,11074,Iphone-1,200,OK,Thread Group 1-43,text,true,,236314,125,50,50,https://www.apple.com/iphone/,214,0,0
1690559713055,10302,Iphone,200,OK,Thread Group 1-9,text,true,,236749,250,50,50,https://www.apple.com/iphone/,231,0,0
1690559713055,231,Iphone-0,301,Moved Permanently,Thread Group 1-9,,true,,435,125,50,50,http://www.apple.com/iphone/,231,0,0
1690559713286,10071,Iphone-1,200,OK,Thread Group 1-9,text,true,,236314,125,50,50,https://www.apple.com/iphone/,445,0,0
1690559708406,15433,Iphone,200,OK,Thread Group 1-48,text,true,,236749,250,50,50,https://www.apple.com/iphone/,224,0,0
1690559708406,224,Iphone-0,301,Moved Permanently,Thread Group 1-48,,true,,435,125,50,50,http://www.apple.com/iphone/,224,0,0
1690559708631,15208,Iphone-1,200,OK,Thread Group 1-48,text,true,,236314,125,50,50,https://www.apple.com/iphone/,217,0,0
1690559710509,13345,Iphone,200,OK,Thread Group 1-21,text,true,,236749,250,50,50,https://www.apple.com/iphone/,217,0,0
1690559710509,217,Iphone-0,301,Moved Permanently,Thread Group 1-21,,true,,435,125,50,50,http://www.apple.com/iphone/,217,0,0
1690559710726,13128,Iphone-1,200,OK,Thread Group 1-21,text,true,,236314,125,50,50,https://www.apple.com/iphone/,422,0,0
1690559711069,13022,Iphone,200,OK,Thread Group 1-36,text,true,,236749,250,50,50,https://www.apple.com/iphone/,242,0,0
1690559711069,242,Iphone-0,301,Moved Permanently,Thread Group 1-36,,true,,435,125,50,50,http://www.apple.com/iphone/,242,0,0
1690559711312,12779,Iphone-1,200,OK,Thread Group 1-36,text,true,,236314,125,50,50,https://www.apple.com/iphone/,208,0,0
1690559714229,10587,Iphone,200,OK,Thread Group 1-17,text,true,,236749,250,50,50,https://www.apple.com/iphone/,205,0,0
